0.01	-2900.13
0.02	-2900.14
0.03	-2900.13
0.04	-2900.07
0.05	-2899.95
0.06	-2899.77
0.07	-2899.56
0.08	-2899.35
0.09	-2899.21
0.1	-2899.19
0.11	-2899.28
0.12	-2899.45
0.13	-2899.64
0.14	-2899.8
0.15	-2899.92
0.16	-2899.97
0.17	-2899.96
0.18	-2899.92
0.19	-2899.86
0.2	-2899.79
0.21	-2899.73
0.22	-2899.69
0.23	-2899.66
0.24	-2899.65
0.25	-2899.65
0.26	-2899.68
0.27	-2899.71
0.28	-2899.74
0.29	-2899.77
0.3	-2899.79
0.31	-2899.79
0.32	-2899.8
0.33	-2899.8
0.34	-2899.8
0.35	-2899.81
0.36	-2899.82
0.37	-2899.83
0.38	-2899.84
0.39	-2899.84
0.4	-2899.84
0.41	-2899.86
0.42	-2899.89
0.43	-2899.93
0.44	-2899.96
0.45	-2899.96
0.46	-2899.92
0.47	-2899.86
0.48	-2899.81
0.49	-2899.83
0.5	-2899.91
0.51	-2900.01
0.52	-2900.09
0.53	-2900.13
0.54	-2900.12
0.55	-2900.06
0.56	-2899.97
0.57	-2899.87
0.58	-2899.8
0.59	-2899.8
0.6	-2899.85
0.61	-2899.95
0.62	-2900.04
0.63	-2900.11
0.64	-2900.14
0.65	-2900.14
0.66	-2900.13
0.67	-2900.11
0.68	-2900.08
0.69	-2900.04
0.7	-2899.99
0.71	-2899.94
0.72	-2899.91
0.73	-2899.92
0.74	-2899.96
0.75	-2900
0.76	-2900
0.77	-2900
0.78	-2900.03
0.79	-2900.06
0.8	-2900.09
0.81	-2900.11
0.82	-2900.12
0.83	-2900.12
0.84	-2900.1
0.85	-2900.07
0.86	-2900.05
0.87	-2900.04
0.88	-2900.03
0.89	-2900
0.9	-2899.96
0.91	-2899.94
0.92	-2899.96
0.93	-2900.04
0.94	-2900.13
0.95	-2900.2
0.96	-2900.22
0.97	-2900.2
0.98	-2900.16
0.99	-2900.11
1	-2900.08
